ID,year,place,sowing,varietyID,variety,block,plot,ind,DryWeight_Leaves_g,DryWeight_Shoot_g,FreshWeight_Shoot_g,FreshWeight_Leaves_g,GrowthStage,NumberOfNodes,NumberOfTillers,PlantHeight_cm,TillerLength_cm
142,2019,Tottori,Jul,2099,E71-099,RC,36,2,35.37,77.52,248.44,97.19,4,7,19,84,46
143,2019,Tottori,Jul,2099,E71-099,RC,36,3,NA,75.8,243.79,NA,4.5,7,17,89,64
144,2019,Tottori,Jul,2099,E71-099,RC,36,4,NA,NA,NA,NA,NA,NA,NA,74,NA
145,2019,Tottori,Jul,2103,E71-103,RC,37,1,NA,NA,NA,NA,NA,NA,NA,45,NA
146,2019,Tottori,Jul,2103,E71-103,RC,37,2,26.56,55.3,186.89,83.45,3.5,8,14,51,34
147,2019,Tottori,Jul,2103,E71-103,RC,37,3,NA,76.2,264.14,NA,5,8,12,47,32
148,2019,Tottori,Jul,2103,E71-103,RC,37,4,NA,NA,NA,NA,NA,NA,NA,48,NA
149,2019,Tottori,Jul,2073,E71-073,RC,38,1,NA,NA,NA,NA,NA,NA,NA,33,NA
150,2019,Tottori,Jul,2073,E71-073,RC,38,2,31.37,48.87,151.32,63.97,5,6,14,42,24
151,2019,Tottori,Jul,2073,E71-073,RC,38,3,NA,34.19,103.43,NA,5,9,11,36,15
152,2019,Tottori,Jul,2073,E71-073,RC,38,4,NA,NA,NA,NA,NA,NA,NA,40,NA
153,2019,Tottori,Jul,2042,E71-042,RC,39,1,NA,NA,NA,NA,NA,NA,NA,53,NA
154,2019,Tottori,Jul,2042,E71-042,RC,39,2,NA,NA,NA,NA,NA,NA,NA,51,NA
155,2019,Tottori,Jul,2042,E71-042,RC,39,3,NA,NA,NA,NA,NA,NA,NA,53,NA
156,2019,Tottori,Jul,2042,E71-042,RC,39,4,NA,NA,NA,NA,NA,NA,NA,53,NA
157,2019,Tottori,Jul,2013,E71-013,RC,40,1,NA,NA,NA,NA,NA,NA,NA,45,NA
158,2019,Tottori,Jul,2013,E71-013,RC,40,2,NA,NA,NA,NA,NA,NA,NA,44,NA
159,2019,Tottori,Jul,2013,E71-013,RC,40,3,NA,NA,NA,NA,NA,NA,NA,36,NA
160,2019,Tottori,Jul,2013,E71-013,RC,40,4,NA,NA,NA,NA,NA,NA,NA,40,NA
161,2019,Tottori,Jul,25,GmJMC025,RC,41,1,NA,NA,NA,NA,NA,NA,NA,55,NA
162,2019,Tottori,Jul,25,GmJMC025,RC,41,2,22.06,49.12,161.09,66.15,5.5,6,24,50,25
163,2019,Tottori,Jul,25,GmJMC025,RC,41,3,NA,27.54,92.55,NA,5.5,7,14,50,17
164,2019,Tottori,Jul,25,GmJMC025,RC,41,4,NA,NA,NA,NA,NA,NA,NA,56,NA
165,2019,Tottori,Jul,2147,E71-147,RC,42,1,NA,NA,NA,NA,NA,NA,NA,58,NA
166,2019,Tottori,Jul,2147,E71-147,RC,42,2,34.16,66.6,219.86,99.51,4,8,11,54,36
167,2019,Tottori,Jul,2147,E71-147,RC,42,3,NA,76.35,251.27,NA,4.5,11,15,52,29
