"","variety","treatment","plot","flower","dryWeight","plantArea","spectral475","spectral550","spectral660","spectral725","spectral850","GRVI","NDVI","NDRE","NDI","RTVI"
"W3-181","GmWMC118","W3",181,0,35.435,1136,3023,4617.5,2191,28055,9599,0.232743109511736,0.579818452101561,0.0739117707881827,0.570181641216975,30.4675166879673
"W3-182","GmJMC137","W3",182,1,42.19,1333,2782,4646.25,2011.5,28664,9500,0.258186702359339,0.605818740090423,0.0605355094686057,0.591508915242245,22.3186220100612
"W3-183","GmJMC082","W3",183,0,63.71,1604,2367,4017,1822,26951,9335,0.252379686190248,0.630133039596997,0.0840385249136873,0.600049060700673,35.6166914077492
"W3-184","GmWMC127","W3",184,0,52.735,1446.5,1787,3660,1505,26274,9251,0.293587800277869,0.685652269525685,0.0761069835294059,0.646038662211191,27.6785049337782
"W3-185","GmJMC002","W3",185,0,23.685,482.666666666667,5051.5,6576.25,3526,32661.5,9423.5,0.169098918221145,0.392902510661579,-0.0038978493987659,0.451969997863471,-20.5915439285842
"W3-186","GmWMC019","W3",186,0,19.02,702.5,3316,5154.5,2457.5,30884.5,9779.5,0.235418674644006,0.545652895201053,0.0282141306990515,0.551357354209479,0.922052716716423
"W3-187","GmWMC036","W3",187,0,23.77,689.25,3144,5068,2271,30791,10027,0.255716097700303,0.586348824158544,0.0501568685089465,0.585496825277262,15.7937973213332
"W3-188","GmJMC053","W3",188,0,30.935,1065,3769.5,5646.5,2808,30825,9371,0.206845776899148,0.477837463102253,0.0129023736154353,0.49709495928891,-8.25245298201305
"W3-189","GmWMC022","W3",189,0,25.055,1041,2412.5,4294.25,1847,29937.5,10099.75,0.272384019538106,0.653677844067766,0.0630382696106385,0.630609759079354,22.5673443502541
"W3-190","GmWMC147","W3",190,0,41.695,1463.5,2134.5,4024.5,1764.5,28266,9764,0.26729888526456,0.652712139349798,0.0766703104460344,0.619015202160081,30.9379574769196
"W3-191","GmJMC065","W3",191,0,32.855,1184.75,3498.5,5371.25,2604,29941,9635,0.219441860072601,0.521714257246252,0.0459309626035876,0.529862872458623,14.5140338125276
"W3-192","GmJMC064","W3",192,0,17.165,1094.5,5669,7552.5,3992,38298,11273.5,0.178198396961488,0.394904162128448,-0.00266824505305373,0.442858786166481,-22.2134256399523
"W3-193","GmJMC055","W3",193,0,55.06,1711,3511,5356.5,2493,30434,9317,0.237531290386535,0.516285503758993,0.0264856372035978,0.535094273448239,1.71286452948451
"W3-194","GmWMC174","W3",194,1,34.005,1338,3213.5,5248.25,2548.5,30655.5,9902.75,0.220039052078409,0.546228221466723,0.0484767814908845,0.536221438133385,14.8746090403177
"W3-195","GmJMC009","W3",195,0,21.81,1176.25,5756,7266.5,3823,36526,11110,0.164887476239544,0.421334130853602,0.0195880019092442,0.460109438558893,-4.11694822905685
"W3-196","GmJMC128","W3",196,0,22.7,1296.5,4149,5850,2999.5,32612.5,10014,0.187026304405614,0.462232410126584,0.00644942798198463,0.493156523017401,-15.6067307360655
"W3-197","GmWMC188","W3",197,1,35.315,1394.75,2854,5056,2197,32013,10044.5,0.266357637336487,0.595130830733543,0.0216719817382134,0.600208689413309,-5.03353743731477
"W3-198","GmJMC130","W3",198,0,40.575,1203.25,3766.5,5118.75,2644,30333.5,9754.25,0.191141412860236,0.511025865299082,0.0285139250232044,0.53411035119046,1.55713676859876
"W3-199","GmJMC121","W3",199,1,27.785,1019.5,3060.5,5452.75,2467.5,34059.5,10502.25,0.251184179563524,0.579587988966553,0.00413962933741253,0.587631312956921,-19.2262699976928
"W3-200","GmWMC183","W3",200,1,15.185,868.5,6852,9222,4995,44789,11898,0.162848377669696,0.324697694666728,-0.0533429719509518,0.410691570180603,-72.9486033358902
"W4-001","GmJMC013","W4",1,0,7.135,334.25,4702,6338.5,3663,28325,7839.5,0.171790866369318,0.298184031009885,-0.0440312825300803,0.378970511303534,-37.7843963561408
"W4-002","GmJMC055","W4",2,0,4.395,227.25,5213,6966,3867,28793,7587.5,0.197449223998858,0.241398626836184,-0.0709368614358416,0.367032007917586,-52.4825602404347
"W4-003","GmWMC072","W4",3,0,10.45,616.75,3815,5207,2877,24855,7346.5,0.196150639574394,0.348722926204414,-0.0176522018062842,0.419772040977142,-20.7073909121982
"W4-004","GmJMC081","W4",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W4-005","GmJMC039","W4",5,0,19.075,640,3991.5,5254.75,2940,25544.5,7626.75,0.190560064977367,0.361645861190633,-0.0148329924856454,0.42644088887108,-19.8225934883633
"W4-006","GmJMC061","W4",6,0,22.36,835,3418,4697,2595,24315.5,7438.25,0.198270109849147,0.413337292646719,0.00371709258537942,0.45645581580715,-9.52965041106318
"W4-007","GmJMC037","W4",7,0,13.82,585,4063,5527.5,3068,26184.5,7628.75,0.192664615930717,0.341643638674243,-0.0247456383481581,0.410033780568168,-25.1618504379752
"W4-008","GmWMC022","W4",8,0,14.345,591.75,2629,4123,2097,23692,7795,0.234891773764198,0.535254266786949,0.0488962248549512,0.544159579853315,13.152008094174
"W4-009","GmJMC054","W4",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W4-010","GmWMC155","W4",10,1,14.315,762.5,3801,5359,2709,27455.5,7882.25,0.236741273719292,0.41663531253845,-0.0272537664247923,0.480872804800581,-29.7607314044738
"W4-011","GmWMC150","W4",11,1,7.93,271.25,3862,5737.5,2855,29844,7905,0.243809172088526,0.398864857022971,-0.0821752729294676,0.521524458333573,-67.8416555061436
"W4-012","GmJMC065","W4",12,0,19.01,730,3978.5,5592.25,2956,27351.5,7731.5,0.210937478784483,0.364503927705618,-0.0222700821551206,0.441148555618584,-26.4955116115854
"W4-013","GmJMC041","W4",13,0,13.06,259.333333333333,5986.5,6837.75,3982,33482,7897,0.160662052595307,0.246785175464293,-0.133067076931706,0.396004665210075,-106.835135647052
"W4-014","GmWMC015","W4",14,0,11.315,509.5,4095.5,5760.5,3131.5,28157,8253,0.19733863769144,0.390430788879464,-0.0269385599582393,0.46198304141999,-31.3608366866397
"W4-015","GmWMC153","W4",15,1,13.81,643.25,4335,5708,3162,27750,7834,0.184247351469499,0.346894940538713,-0.0390012161795566,0.428803547859962,-38.9249178729202
"W4-016","GmWMC152","W4",16,1,12.67,773,3449.5,4880.75,2639.5,25949.5,7648,0.206361854893018,0.426218723010135,-0.0124618944856614,0.474755401241619,-19.8484284217618
"W4-017","GmWMC024","W4",17,0,12.76,451,4845.5,6698.25,3811,31093.5,8149.75,0.179468906760541,0.298739782351124,-0.0717447265830766,0.396067892617907,-62.2547153694454
